강의분류,강의명,조회수,조회수_숫자
제조업,신노년층 오팔(OPAL)세대를 위한 미디어 이용가이드 - 연령별 미디어 이용 가이드,조회수 : 777,777
건설업,웹툰 프로듀서를 위한 실전 만화기획 - 작품 기획에 들어가며(O이 되는 이야기 만들기),조회수 : 520,520
건설업,글로벌 비즈니스 인사이트,조회수 : 249,249
건설업,일꾼의 말,조회수 : 323,323
건설업,도와줘! AI툴,조회수 : 2294,2294
공급업,[HD]누구나 쉽게 생산성을 높이는 Notion(노션) 데이터베이스 고급 - Part.2 DB구축과 계산,조회수 : 207,207
예술,좋은 서비스의 비밀 UX Writing,조회수 : 171,171
제조업,[HD]기출문제 풀이로 배우는 ITQ Excel (2023년),조회수 : 305,305
제조업,새로 시작하는 자들을 위한 온보딩,조회수 : 2591,2591
마케팅,중년을 위한 1년 안에 인세받는 출간작가 되기! [입문편],조회수 : 3066,3066
제조업,2024 박문각 주택관리사 - 모의고사 - 민법,조회수 : 3767,3767
제조업,주거복지사 보수교육(2021년 제3회),조회수 : 103,103
건설업,새로운 시대의 영상 예술이 되다_자크 킹(Zach King) - 디지털 시대의 새로운 영상 마술사,조회수 : 985,985
운수 및 창고업,표현의 자유와 책임의 문제 - 표현의 자유는 어디까지인가 사이버폭력,조회수 : 1930,1930
공급업,웹툰 회사에서는 어떤 일을 할까? - 웹툰 회사 이런 일을 해요: IP 확장,조회수 : 409,409
운수 및 창고업,블록체인 혁명,조회수 : 118,118
건설업,라떼의 직장생활 상담소,조회수 : 1212,1212
과학 기술 서비스업,AI를 음악 프로듀싱에 어떻게 이용할 수 있을까? - AI를 적용한 사운드 콘텐츠 알아보기,조회수 : 1669,1669
정보통신,사례로 보고 따라하는 경매투자(빌라상가편),조회수 : 534,534
예술,로그분석 - 지표의 필요성과 정의,조회수 : 743,743
제조업,[HD]모임 SNS에 최적화된 네이버 band(밴드) 제대로 배우기,조회수 : 224,224
과학 기술 서비스업,핵심만 콕! 외부 리스크에 대응하는 기업 마케팅,조회수 : 82,82
과학 기술 서비스업,회계지만 괜찮아,조회수 : 747,747
과학 기술 서비스업,챗GPT로 날로 먹는 콘텐츠 마케팅 자동화 3 - 마케팅 자동화와 실습,조회수 : 494,494
